System,System,System,System,System,System,System,System,System,System
Time,EXEC,CFREQ,READ,WRITE,INST,PhysIPC%,Proc Energy (Joules),DRAM Energy (Joules),UncFREQ (Ghz)
02:27:15.488,0.6,2.3,6.12,2.12,7445.81,34.14,18.24,2.43,2.4
02:27:15.588,0.65,2.32,5.25,1.86,8004.71,36.47,18.13,2.25,2.4
02:27:15.688,0.66,2.33,4.85,1.74,8218.73,36.97,18.22,2.18,2.4
02:27:15.787,0.57,2.31,6.25,2.15,7103.08,32.51,18.23,2.47,2.4
02:27:15.887,0.68,2.36,5.03,1.81,8423.95,37.52,18.35,2.19,2.4
02:27:15.988,0.54,2.3,6.44,2.22,6758.23,30.74,18.32,2.52,2.4
02:27:16.088,0.67,2.39,4.53,1.93,8385.17,36.66,18.54,2.16,2.4
02:27:16.188,0.65,2.31,5.66,2.0,8037.35,36.63,18.41,2.34,2.4
02:27:16.289,0.58,2.34,5.91,2.11,7298.01,32.75,18.29,2.38,2.39
02:27:16.389,0.68,2.33,4.73,1.7,8504.47,38.11,18.47,2.18,2.4
02:27:16.489,0.56,2.31,6.48,2.28,6959.66,31.7,18.27,2.51,2.4
02:27:16.590,0.67,2.31,5.08,1.84,8347.03,37.83,18.32,2.23,2.4
02:27:16.690,0.63,2.3,5.77,2.04,7872.24,35.89,18.47,2.37,2.4
02:27:16.790,0.62,2.3,5.41,1.94,7657.0,35.11,18.13,2.3,2.39
02:27:16.890,0.63,2.34,4.86,2.03,7929.82,35.35,18.29,2.21,2.4
02:27:16.990,0.57,2.32,6.08,2.19,7058.19,32.2,18.28,2.46,2.41
02:27:17.090,0.66,2.33,5.04,1.85,8253.14,37.37,18.3,2.21,2.4
02:27:17.190,0.56,2.31,6.22,2.17,7036.92,31.92,18.39,2.48,2.4
02:27:17.290,0.68,2.35,4.95,1.85,8494.24,38.06,18.37,2.2,2.4
02:27:17.390,0.63,2.26,5.64,2.01,7887.43,36.72,18.16,2.34,2.4
02:27:17.491,0.59,2.35,5.81,2.09,7365.58,32.68,18.56,2.4,2.4
02:27:17.591,0.68,2.35,4.73,1.76,8468.05,38.0,18.34,2.15,2.41
02:27:17.691,0.56,2.28,6.57,2.31,6947.0,31.94,18.32,2.54,2.4
02:27:17.791,0.63,2.36,4.28,1.86,7834.9,34.79,18.01,2.08,2.4
02:27:17.891,0.54,2.27,6.0,2.05,6761.7,31.39,18.11,2.42,2.4
02:27:17.991,0.67,2.33,5.02,1.8,8382.01,37.82,18.27,2.19,2.4
02:27:18.091,0.63,2.3,5.66,1.96,7834.69,35.71,18.34,2.33,2.4
02:27:18.192,0.59,2.3,5.39,1.9,7383.02,33.59,18.05,2.28,2.4
02:27:18.291,0.67,2.36,4.98,1.79,8324.44,37.16,18.29,2.18,2.4
02:27:18.392,0.54,2.27,6.36,2.16,6783.84,31.25,18.17,2.49,2.4
02:27:18.492,0.68,2.34,4.73,1.71,8472.11,37.85,18.28,2.15,2.4
02:27:18.592,0.53,2.31,6.36,2.21,6579.22,30.06,18.24,2.49,2.4
02:27:18.693,0.66,2.35,4.45,1.89,8246.88,36.61,18.24,2.13,2.4
02:27:18.792,0.63,2.28,5.63,1.97,7817.06,36.3,18.1,2.32,2.4
02:27:18.892,0.6,2.35,5.51,1.94,7380.37,33.13,18.26,2.3,2.4
02:27:18.993,0.68,2.37,4.91,1.8,8502.22,37.46,18.54,2.2,2.4
02:27:19.093,0.55,2.27,6.49,2.24,6897.11,31.81,18.23,2.53,2.4
02:27:19.193,0.65,2.35,4.79,1.73,8151.2,36.31,18.29,2.14,2.4
02:27:19.293,0.62,2.34,5.97,2.09,7695.24,34.61,18.57,2.44,2.4
02:27:19.393,0.63,2.32,5.3,1.89,7826.59,35.36,18.3,2.28,2.4
02:27:19.494,0.64,2.36,4.87,2.02,8014.73,35.51,18.34,2.23,2.4
02:27:19.593,0.56,2.29,5.94,2.15,6916.74,31.99,18.08,2.45,2.4
02:27:19.693,0.68,2.33,5.0,1.85,8432.64,38.25,18.17,2.22,2.4
02:27:19.793,0.54,2.3,6.39,2.26,6752.47,30.58,18.46,2.5,2.4
02:27:19.893,0.68,2.34,4.56,1.68,8387.89,37.87,18.16,2.14,2.4
02:27:19.994,0.66,2.34,5.51,1.99,8230.03,36.74,18.63,2.34,2.4
02:27:20.094,0.57,2.33,5.98,2.15,7158.22,32.33,18.42,2.45,2.4
02:27:20.193,0.66,2.35,4.81,1.77,8144.04,36.46,18.19,2.17,2.4
